id_file	file	page	page_typo	page_typo	date	pv
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-02-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-03-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-04-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-05-01	3
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-06-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-07-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-08-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-09-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-10-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-11-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2017-12-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-01-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-02-01	2
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-03-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-04-01	0
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-05-01	1
34981	File:ETH-BIB-Scheuchzer, Johannes (1684 -1738)-Portrait-Portr 12168.tif	Liste der Mitglieder der Deutschen Akademie der Naturforscher Leopoldina/1708	de	article	2018-06-01	0
11943	File:ETH-BIB-Fiedler, Wilhelm (1832-1912)-Portrait-Portr 04712.tif (cropped).jpg	Wilhelm Fiedler	cs	article	2016-04-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-04-01	2
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-05-01	2
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-06-01	0
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-07-01	2
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-08-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-09-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-10-01	5
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-11-01	2
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2016-12-01	1
9548	File:ETH-BIB-Disentis-LBS H1-018197.tif	Disentis/Mustér	de	article	2017-01-01	6
