id	file	title	date	place	medium	dimensions	width	height	photographer
4046	File:ETH-BIB-Flug über die Alpen auf dem Weg nach Milano-Weitere-LBS MH02-19-0009.tif	Flug über die Alpen auf dem Weg nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4047	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0010.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4048	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0011.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4049	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0012.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4050	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0013.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4051	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0014.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4052	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0015.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4053	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0016.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4054	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0017.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4055	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0018.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4056	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0019.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4057	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0020.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4058	File:ETH-BIB-Flug über die Alpen nach Milano-Weitere-LBS MH02-19-0021.tif	Flug über die Alpen nach Milano	07.06.33	Alpen; Schweiz	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
