id	file	title	date	place	medium	dimensions	width	height	photographer
15231	File:ETH-BIB-Weinfelden-Inlandflüge-LBS MH01-006823.tif	Weinfelden	July 1932	Weinfelden	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15232	File:ETH-BIB-Weingarten, Schloss Wolfegg-Inlandflüge-LBS MH01-003974.tif	Schloss Wolfegg	1923	Wolfegg	Fotografie : Glasplattennegativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
15233	File:ETH-BIB-Weiningen, Katzensee aus 600 m-Inlandflüge-LBS MH01-000964.tif	Weiningen, Katzensee aus 600 m	1919	Weiningen (ZH)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15234	File:ETH-BIB-Weissbad mit Säntis v. N. O. 600 m-Inlandflüge-LBS MH01-004138.tif	Weissbad mit Säntis v. N. O. 600 m	07.04.05	Rüte; Schwende	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15235	File:ETH-BIB-Weissbad, Appenzell v. S. aus 400 m-Inlandflüge-LBS MH01-004137.tif	Weissbad, Appenzell v. S. aus 400 m	07.04.05	Rüte; Schwende	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15236	File:ETH-BIB-Weissbad, Kuranstalt Weissbad A.-G.-Inlandflüge-LBS MH03-1326.tif	Weissbad, Kuranstalt Weissbad A.-G.	1918-1937	Rüte; Schwende	Fotografie : Silbergelatine-Abzug	9 x 12 cm	12	9	Walter Mittelholzer
15237	File:ETH-BIB-Weissbad, Säntis aus 1500 m-Inlandflüge-LBS MH01-002800.tif	Weissbad, Säntis aus 1500 m	05.04.05	Rüte; Schwende	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
15238	File:ETH-BIB-Weissbad, Wasserauen, Säntis v. S. O. aus 1000 m-Inlandflüge-LBS MH01-002801.tif	Weissbad, Wasserauen, Säntis v. S. O. aus 1000 m	05.04.05	Rüte; Schwende	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15239	File:ETH-BIB-Weissegg, Schanbelegg, Linthebene v. S. O. aus 2500 m-Inlandflüge-LBS MH01-002369.tif	Weissegg, Schanbelegg, Linthebene v. S. O. aus 2500 m	1919	-	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15240	File:ETH-BIB-Weissenstein, Aare v. N. aus 2000 m-Inlandflüge-LBS MH01-000814.tif	Weissenstein, Aare v. N. aus 2000 m	1919	Weissenstein	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15241	File:ETH-BIB-Weissenstein, Passwang v. N.-Inlandflüge-LBS MH01-002719.tif	Weissenstein, Passwang v. N.	1922	Weissenstein	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15242	File:ETH-BIB-Weissfluhgipfel-Inlandflüge-LBS MH05-74-36.tif	Weissfluhgipfel	17.08.34	Graubünden	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15243	File:ETH-BIB-Weissfluhgipfel-Inlandflüge-LBS MH05-74-37.tif	Weissfluhgipfel	17.08.34	Graubünden	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15244	File:ETH-BIB-Weissfluhgipfel-Inlandflüge-LBS MH05-74-38.tif	Weissfluhgipfel	17.08.34	Graubünden	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15245	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-30.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15246	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-31.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15247	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-32.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15248	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-33.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15249	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-34.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15250	File:ETH-BIB-Weissfluhjoch-Inlandflüge-LBS MH05-74-35.tif	Weissfluhjoch	17.08.34	Graubünden; Weissfluhjoch	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15251	File:ETH-BIB-Weissgrat, Dufourspitze, Monte Rosa, Lyskamm v. N. O. aus 4300 m-Inlandflüge-LBS MH01-005667.tif	Weissgrat, Dufourspitze, Monte Rosa, Lyskamm v. N. O. aus 4300 m	1928	Monte Rosa; Walliser Alpen; Dufourspitze	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15252	File:ETH-BIB-Weisshorn v. S. O. aus 4200 m-Inlandflüge-LBS MH01-005174.tif	Weisshorn v. S. O. aus 4200 m	1926	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15253	File:ETH-BIB-Weisshorn, Bishorn-Inlandflüge-LBS MH05-16-21.tif	Weisshorn, Bishorn	06.07.33	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15254	File:ETH-BIB-Weisshorn, Brunegghorn-Inlandflüge-LBS MH05-54-39.tif	Weisshorn, Brunegghorn	22.09.34	Wallis; Matterhorn; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15255	File:ETH-BIB-Weisshorn, Brunegghorn-Inlandflüge-LBS MH05-54-40.tif	Weisshorn, Brunegghorn	22.09.34	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15256	File:ETH-BIB-Weisshorn, Dent Blanche v. O. aus 4000 m-Inlandflüge-LBS MH01-000397-02.tif	Weisshorn, Dent Blanche v. O. aus 4000 m	02.04.05	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15257	File:ETH-BIB-Weisshorn, Dent Blanche-Inlandflüge-LBS MH01-007597.tif	Weisshorn, Dent Blanche	16.09.33	Weisshorn (Wallis)	Fotografie : Negativ	6 x 7 cm	7	6	Walter Mittelholzer
15258	File:ETH-BIB-Weisshorn, Matterhorn, Dent Blanche-Inlandflüge-LBS MH05-21-30.tif	Weisshorn, Matterhorn, Dent Blanche	05.09.34	Wallis; Dent Blanche; Matterhorn; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15259	File:ETH-BIB-Weisshorn, Matterhorn, Grand Combin, Mont Blanc v. N. O. aus 5000 m-Inlandflüge-LBS MH01-002120.tif	Weisshorn, Matterhorn, Grand Combin, Mont Blanc v. N. O. aus 5000 m	1919	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15260	File:ETH-BIB-Weisshorn, Matterhorn, Grand Combin, Mont Blanc v. N. O. aus 5000 m-Inlandflüge-LBS MH01-002129.tif	Weisshorn, Matterhorn, Grand Combin, Mont Blanc v. N. O. aus 5000 m	1919	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15261	File:ETH-BIB-Weisshorn, Matterhorn, Lyskamm v. N. aus 5000 m-Inlandflüge-LBS MH01-001049.tif	Weisshorn, Matterhorn, Lyskamm v. N. aus 5000 m	1919	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15262	File:ETH-BIB-Weisshorn, Matterhorn, Monte Rosa-Inlandflüge-LBS MH01-007593.tif	Weisshorn, Matterhorn, Monte Rosa	16.09.33	Weisshorn (Wallis)	Fotografie : Negativ	6 x 7 cm	7	6	Walter Mittelholzer
15263	File:ETH-BIB-Weisshorn, Monte Rosa-Inlandflüge-LBS MH01-007594.tif	Weisshorn, Monte Rosa	16.09.33	Weisshorn (Wallis)	Fotografie : Negativ	6 x 7 cm	7	6	Walter Mittelholzer
15264	File:ETH-BIB-Weisshorn, Monte Rosa-Inlandflüge-LBS MH01-007595.tif	Weisshorn, Monte Rosa	16.09.33	Weisshorn (Wallis)	Fotografie : Negativ	6 x 7 cm	7	6	Walter Mittelholzer
15265	File:ETH-BIB-Weisshorn, Zinalrothorn-Inlandflüge-LBS MH05-17-57.tif	Weisshorn, Zinalrothorn	05.09.34	Wallis; Zinalrothorn; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15266	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-16-18.tif	Weisshorn	06.07.33	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15267	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-16-19.tif	Weisshorn	06.07.33	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15268	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-16-20.tif	Weisshorn	06.07.33	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15269	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-02.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15270	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-03.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15271	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-04.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15272	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-05.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15273	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-10.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15274	File:ETH-BIB-Weisshorn-Inlandflüge-LBS MH05-20-11.tif	Weisshorn	31.08.35	Wallis; Weisshorn (Wallis)	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15275	File:ETH-BIB-Weisshorngipfel -Inlandflüge-.tif	S	ETH Library  Native nameETH-BibliothekLocationZürichCoordinates47° 22′ 35″ N, 8° 32′ 53″ E   Established1855Websitehttp://www.library.ethz.chAuthority controlVIAF: 125140155LCCN: n84188714GND: 4207808-8SUDOC: 034076980BNF: 12004643bWorldCat	-	Fotografie : Negativ	-	-	-	ETH-Bibliothek
15276	File:ETH-BIB-Weisshorngipfel v. S. O. aus 4500 m-Inlandflüge-LBS MH01-005800.tif	Weisshorngipfel v. S. O. aus 4500 m	12.04.05	Weisshorn (Wallis)	Fotografie : Papierabzug	13 x 18 cm	18	13	Walter Mittelholzer
15277	File:ETH-BIB-Weisshorngipfel, Grand Cornier, Grand Combin, Mont Blanc v. N. O. aus 4500 m-Inlandflüge-LBS MH01-005802.tif	Weisshorngipfel, Grand Cornier, Grand Combin, Mont Blanc v. N. O. aus 4500 m	11.04.05	Weisshorn (Wallis)	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15278	File:ETH-BIB-Weisshorngruppe mit Monte Rosa Kette, Matterhorn v.N. aus 5000 m-Inlandflüge-LBS MH01-001101.tif	Weisshorngruppe mit Monte Rosa Kette, Matterhorn v.N. aus 5000 m	1919	Weisshorn (Wallis)	Reprofotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15279	File:ETH-BIB-Weisshorngruppe, Matterhorn v. N. O. aus 4000 m-Inlandflüge-LBS MH01-000396.tif	Weisshorngruppe, Matterhorn v. N. O. aus 4000 m	02.04.05	Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15280	File:ETH-BIB-Weisskugel und Hintereisferner in den Ötzaler Alpen-Inlandflüge-LBS MH01-007128.tif	Wildspitze, Ötztaler Alpen, Aufnahmerichtung OSO	1933	Ötztaler Alpen	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	Walter Mittelholzer
15281	File:ETH-BIB-Weisskugel und Hintereisferner in den Ötzaler Alpen-Inlandflüge-LBS MH01-007129.tif	Weisskugel und Hintereisferner in den Ötzaler Alpen	1933	Ötztaler Alpen	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	Walter Mittelholzer
15282	File:ETH-BIB-Weisskugel und Hintereisferner in den Ötzaler Alpen-Inlandflüge-LBS MH01-007130.tif	Weisskugel und Hintereisferner in den Ötzaler Alpen	1933	Ötztaler Alpen	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	Walter Mittelholzer
15283	File:ETH-BIB-Weisskugel v. N.-Inlandflüge-LBS MH01-007301.tif	Weisskugel v. N.	25.07.33	Ötztaler Alpen	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	Walter Mittelholzer
15284	File:ETH-BIB-Weisskugel v. N.-Inlandflüge-LBS MH01-007302.tif	Weisskugel v. N.	25.07.33	Ötztaler Alpen	Fotografie : Negativ	10 x 12 cm (4 x 5'')	12	10	Walter Mittelholzer
15285	File:ETH-BIB-Weisskugel-Inlandflüge-LBS MH01-007293.tif	Weisskugel	25.07.33	Ötztaler Alpen	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15286	File:ETH-BIB-Weisslingen-Inlandflüge-LBS MH01-002616.tif	Weisslingen	1920	Weisslingen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15287	File:ETH-BIB-Weisslingen-Inlandflüge-LBS MH01-002632.tif	Weisslingen	1920	Weisslingen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15288	File:ETH-BIB-Weisslingen-Inlandflüge-LBS MH01-003064.tif	Weisslingen	1923	Weisslingen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15289	File:ETH-BIB-Weisslingen-Inlandflüge-LBS MH01-003065.tif	Weisslingen	1923	Weisslingen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15290	File:ETH-BIB-Weissmies, Portjengrat, Sonnighorn, Pizzo Bottarello v. N. W. aus 4500 m-Inlandflüge-LBS MH01-001037.tif	Weissmies, Portjengrat, Sonnighorn, Pizzo Bottarello v. N. W. aus 4500 m	1919	Walliser Alpen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15291	File:ETH-BIB-Weisstannental v. W. aus 2200 m-Inlandflüge-LBS MH01-003504.tif	Weisstannental v. W. aus 2200 m	1923	Weisstannen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15292	File:ETH-BIB-Weisstannental, Foo, Spitzmeilen, Tödi, Glärnisch-Inlandflüge-LBS MH01-005377.tif	Weisstannental, Foo, Spitzmeilen, Tödi, Glärnisch	1927	Weisstannen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15293	File:ETH-BIB-Weisstannental, Ringelspitz, Wolken v. N. aus 4800 m-Inlandflüge-LBS MH01-003824.tif	Weisstannental, Ringelspitz, Wolken v. N. aus 4800 m	1923	Weisstannen; Graubünden	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15294	File:ETH-BIB-Weisstannertal, Piz Sardona v. N. O. aus 3500 m-Inlandflüge-LBS MH01-001527.tif	Weisstannertal, Piz Sardona v. N. O. aus 3500 m	1919	Weisstannen; Bündner Alpen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15295	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0879.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15296	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0897.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15297	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0898.tif	Tschadseedorf am Yadseram	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15298	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0899.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15299	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0900.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15300	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0901.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15301	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0902.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15302	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0903.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15303	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0904.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15304	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0905.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15305	File:ETH-BIB-Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen-Tschadseeflug 1930-31-LBS MH02-08-0906.tif	Welcher Gegensatz, dieser einfache schwarze Weber, umgeben von seinen Töchtern, inmitten der afrikanischen Wildnis, zu unseren maschinenrasselnden Websälen	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15306	File:ETH-BIB-Wellen in der Wüste-Tschadseeflug 1930-31-LBS MH02-08-0408.tif	Wellen in der Wüste	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15307	File:ETH-BIB-Wellenkuppe, Zinalrothorn, Weisshorn v. S. aus 4000 m-Inlandflüge-LBS MH01-005171.tif	Wellenkuppe, Zinalrothorn, Weisshorn v. S. aus 4000 m	1926	Wellenkuppe; Zinalrothorn; Weisshorn (Wallis)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15308	File:ETH-BIB-Welschenrohr, Vermes, Montsevelier v. S. aus 3000 m-Inlandflüge-LBS MH01-003183.tif	Welschenrohr, Vermes, Montsevelier v. S. aus 3000 m	1923	Welschenrohr	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15309	File:ETH-BIB-Wendenstöcke v. S. aus 3200 m-Inlandflüge-LBS MH01-004697.tif	Wendenstöcke v. S. aus 3200 m	1925	Wendenstöcke	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15310	File:ETH-BIB-Wendenstöcke v. S. aus 3200 m-Inlandflüge-LBS MH01-004698.tif	Wendenstöcke v. S. aus 3200 m	1925	Wendenstöcke	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15311	File:ETH-BIB-Wendenstöcke, Engstlensee, Sustenhorn-Inlandflüge-LBS MH05-13-09.tif	Wendenstöcke, Engstlensee, Sustenhorn	27.09.34	Sustenhorn; Engstlensee; Wendenstöcke; Bern	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15312	File:ETH-BIB-Wendenstöcke, Engstlensee, Sustenhorn-Inlandflüge-LBS MH05-13-10.tif	Wendenstöcke, Engstlensee, Sustenhorn	27.09.34	Sustenhorn; Engstlensee; Wendenstöcke; Bern	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15313	File:ETH-BIB-Wendental, Wendengletscher, Fünffingerstöck, Spannörter v. S. W. aus 4000 m-Inlandflüge-LBS MH01-002450.tif	Wendental, Wendengletscher, Fünffingerstöck, Spannörter v. S. W. aus 4000 m	1919	Wendenstöcke	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15314	File:ETH-BIB-Wengen, Männlichen, Grosse Scheidegg, Wetterhörner v. W. aus 3000 m-Inlandflüge-LBS MH01-004323.tif	Wengen, Männlichen, Grosse Scheidegg, Wetterhörner v. W. aus 3000 m	1925	Wengen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15315	File:ETH-BIB-Wengen, Männlichen, Wetterhorn, Eiger v. W. aus 3000 m-Inlandflüge-LBS MH01-004326.tif	Wengen, Männlichen, Wetterhorn, Eiger v. W. aus 3000 m	1925	Wengen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15316	File:ETH-BIB-Werdenberg, Buchs aus 500 m-Inlandflüge-LBS MH01-002351.tif	Werdenberg, Buchs aus 500 m	1919	Werdenberg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15317	File:ETH-BIB-Werkanlage der Dornier Flugzeugwerke in Manzell bei Friedrichshafen-Weitere-LBS MH02-44-0001.tif	Werkanlage der Dornier Flugzeugwerke in Manzell bei Friedrichshafen	11.07.35	Friedrichshafen; Bodensee	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15318	File:ETH-BIB-Wermatswil, Fehraltorf, Effretikon, Pfäffikersee, Zürcher Oberland v. W. aus 2500 m-Inlandflüge-LBS MH01-000243.tif	Wermatswil, Fehraltorf, Effretikon, Pfäffikersee, Zürcher Oberland v. W. aus 2500 m	02.04.05	Wermatswil	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15319	File:ETH-BIB-Werthenstein, Kloster, Entlebuch aus 400 m-Inlandflüge-LBS MH01-002819.tif	Werthenstein, Kloster, Entlebuch aus 400 m	1922	Werthenstein	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15320	File:ETH-BIB-Wessen, Amden, Walensee, Mattstock, Federispitz v. S. O. aus 3900 m-Inlandflüge-LBS MH01-000578.tif	Wessen, Amden, Walensee, Mattstock, Federispitz v. S. O. aus 3900 m	02.04.05	Weesen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
15321	File:ETH-BIB-Westabsturz des Mokattamgebirge mit Niltal-Kilimanjaroflug 1929-30-LBS MH02-07-0165.tif	Westabsturz des Mokattamgebirge mit Niltal	1929-1929	Ägypten	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15322	File:ETH-BIB-Westalpen unter den Wolken-Tschadseeflug 1930-31-LBS MH02-08-0035.tif	Westalpen unter den Wolken	1930-1931	Europa; Westalpen	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
15323	File:ETH-BIB-Westküste Afrikas-Tschadseeflug 1930-31-LBS MH02-08-0981.tif	Westküste Afrikas	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
15324	File:ETH-BIB-Westküste Griechenlands-Weitere-LBS MH02-25-0036.tif	Westküste Griechenlands	28.06.34	Griechenland; Mittelmeerraum; Mittelmeer	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
15325	File:ETH-BIB-Westlich von Salerno, Blickrichtung Norden-Kilimanjaroflug 1929-30-LBS MH02-07-0520.tif	Westlich von Salerno, Blickrichtung Norden	1929-1930	Europa; Italien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
