File:CH-NB - Aarberg, Schloss - Collection Gugelmann - GS-GUGE-WEIBEL-F-4.tif	2015-03-23T16:41:51Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Bernhard Albrecht Haller|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarberg|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Schloss Aarberg	52576914	6030	4700	NIKON CORPORATION
File:CH-NB - Aarberg, von Südosten - Collection Gugelmann - GS-GUGE-NÖTHIGER-F-1.tif	2015-03-27T09:56:42Z	Kelson	Public domain	1744 engravings|1744 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarberg|Johann Ludwig Nöthiger|Media contributed by the Swiss National Library	44137632	4835	3041	Canon
File:CH-NB - Aarburg, von Nordwesten - Collection Gugelmann - GS-GUGE-LORY-C-2.tif	2015-03-27T09:57:01Z	Kelson	Public domain	1786 engravings|1786 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Barthlome Fehr|CC-PD-Mark|CH-NB-Collection Gugelmann|Coats of arms of Wyttenbach family|Collection Gugelmann|GWToolset Batch Upload|Gabriel Lory|Historical images of Aarburg|Marquard Wocher|Media contributed by the Swiss National Library	35233178	5700	4008	NIKON CORPORATION
File:CH-NB - Aarburg, von Südwesten - Collection Gugelmann - GS-GUGE-PERIGNON-C-1.tif	2015-03-23T16:42:17Z	Kelson	Public domain	Alexis-Nicolas Perignon (1726-1782)|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of Aarburg|Media contributed by the Swiss National Library	31269540	5700	4029	NIKON CORPORATION
File:CH-NB - Aargau - Collection Gugelmann - GS-GUGE-BIRMANN-UND-FILS-C-13.tif	2015-02-20T16:15:07Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Farmhouses in Switzerland in art|GWToolset Batch Upload|Historical images of the canton of Aargau|Media contributed by the Swiss National Library|Template Unknown (author)	44443326	5700	4715	NIKON CORPORATION
File:CH-NB - Aargau - Collection Gugelmann - GS-GUGE-KÖNIG-E-56.tif	2015-02-28T11:25:19Z	Swiss National Library	Public domain	1810 in Switzerland|1810 paintings|All media supported by Wikimedia CH|Artworks without Wikidata item|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Niklaus König|GWToolset Batch Upload|Media contributed by the Swiss National Library|Traditional costumes of the canton of Aargau	59267708	6763	4416	NIKON CORPORATION
File:CH-NB - Aargau, Merenschwand - Collection Gugelmann - GS-GUGE-KÖNIG-C-37.tif	2015-03-27T09:57:40Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Niklaus König|GWToolset Batch Upload|Josef Reinhard|Media contributed by the Swiss National Library|Traditional costumes of the canton of Aargau	36676268	4758	5600	NIKON CORPORATION
File:CH-NB - Aargau, Trachten - Collection Gugelmann - GS-GUGE-ABERLI-E-12.tif	2015-02-20T15:38:06Z	Swiss National Library	Public domain	1775 engravings|1775 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Balthasar Anton Dunker|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Johann Ludwig Aberli|Media contributed by the Swiss National Library|Traditional costumes of the canton of Aargau	60255536	4259	6633	NIKON CORPORATION
File:CH-NB - Aarwangen - Collection Gugelmann - GS-GUGE-WEIBEL-D-2a.tif	2015-03-23T16:43:05Z	Kelson	Public domain	1825 in Switzerland|1825 paintings|Aarwangen|All media supported by Wikimedia CH|Artworks without Wikidata item|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Sammlung sämmtlicher Land-Pfarreyen des Cantons Bern	58007356	6367	4345	NIKON CORPORATION
File:CH-NB - Aarwangen - Collection Gugelmann - GS-GUGE-WEIBEL-D-2b.tif	2015-03-23T16:44:06Z	Kelson	Public domain	1825 etchings|1825 in Switzerland|Aarwangen|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Sammlung sämmtlicher Land-Pfarreyen des Cantons Bern	57452564	6201	4133	NIKON CORPORATION
File:CH-NB - Aarwangen, mit Schloss, von Nordwesten - Collection Gugelmann - GS-GUGE-NÖTHIGER-F-2.tif	2015-03-27T09:58:00Z	Kelson	Public domain	1743 engravings|1743 in Switzerland|Aarwangen|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Johann Ludwig Nöthiger|Media contributed by the Swiss National Library	41591256	4615	3002	Canon
File:CH-NB - Aarwangen, Schloss - Collection Gugelmann - GS-GUGE-WEIBEL-F-5.tif	2015-03-23T16:44:39Z	Kelson	Public domain	1823 etchings|1823 in Switzerland|Aarwangen|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Coats of arms of the canton of Bern|Collection Gugelmann|GWToolset Batch Upload|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Paintings of coats of arms	50661598	6000	4666	NIKON CORPORATION
