0	https://commons.wikimedia.org/w/api.php?action=parse&format=json&page=Category:Media contributed by the ETH-Bibliothek/Reports/improvement	File:Aettenschwil 1953.jpg
93	File:ETH Swissair LBS SR02-10259 Ausschnitt Robert Haab.tif	Commons:WikiProject Aviation/recent uploads/2018 January 9	-	wikiproject	320094	16392	5.12099570751
94	File:ETH Swissair LBS SR02-10259.tif	User:AndreasPraefcke/Bodenseekreis new files/2018 January 1-10	-	user_page	106999	103941	97.1420293648
94	File:ETH Swissair LBS SR02-10259.tif	User:Pingelig/Recent uploads/Canton of Thurgau/2018 January 1-10	-	user_page	111971	108914	97.269828795
94	File:ETH Swissair LBS SR02-10259.tif	Commons:WikiProject Aviation/recent uploads/2018 January 9	-	wikiproject	320094	14506	4.53179378558
95	File:ETH-BIB - französische Flugzeuge am Kap Juby - Tschadseeflug 1930-31-LBS MH02-08-1076.tiff	File:ETH-BIB-Französiche Flugzeuge am Kap Juby-Tschadseeflug 1930-31-LBS MH02-08-1076.tif	-	file	1220	93	7.62295081967
124	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	-	wikiproject	2609266	942970	36.1392820816
125	File:ETH-BIB--.tif	Commons:WikiProject Aviation/recent uploads/2017 June 9	-	wikiproject	2015535	1164803	57.7912564158
128	File:ETH-BIB--Inlandflüge-.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	-	wikiproject	2123549	1145741	53.9540646343
129	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	-	wikiproject	2483007	1234736	49.7274474055
132	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	User:DrTrigon/logs/ETH-Bib/01	-	user_page	265493	8240	3.1036599835
132	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	User:DrTrigon/logs/eth-bib	-	user_page	2993974	23168	0.773821015146
132	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	Commons:WikiProject Aviation/recent uploads/2016 June 21	-	wikiproject	1017459	710596	69.8402589195
134	File:ETH-BIB--Persienflug 1924-1925-.tif	User:DrTrigon/logs/ETH-Bib/01	-	user_page	265493	3026	1.13976639685
134	File:ETH-BIB--Persienflug 1924-1925-.tif	User:DrTrigon/logs/eth-bib	-	user_page	2993974	17448	0.582770591862
135	File:ETH-BIB--Portrait-.tif	File:AlexanderIIJamesWaddel Moscow1935.tif	-	file	6861	897	13.0738959335
135	File:ETH-BIB--Portrait-.tif	File:AlexandrovPavel Moscow1935.tif	-	file	6861	897	13.0738959335
135	File:ETH-BIB--Portrait-.tif	File:BorsukKarol Moscow1935.tif	-	file	6859	897	13.0777081207
135	File:ETH-BIB--Portrait-.tif	File:CechEduard Moscow1935.tif	-	file	6861	897	13.0738959335
135	File:ETH-BIB--Portrait-.tif	File:Cohn-VossenStephan Moscow1935.tif	-	file	6862	897	13.0719906733
135	File:ETH-BIB--Portrait-.tif	File:FranklFelix Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:FreudenthalHans Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:HeegaardPoul Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:HopfHeinz Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:KampenEgbertRudolfVan Moscow1935.tif	-	file	6861	897	13.0738959335
135	File:ETH-BIB--Portrait-.tif	File:KuratowksiKazimierz Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:LefschetzSolomon Moscow1935.tif	-	file	6861	897	13.0738959335
135	File:ETH-BIB--Portrait-.tif	File:NielsenJacob Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:SchauderJuliusz Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:StepanovVyacheslav Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:TamarkinJacob Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:TikhonovAndreyNikolayevich Moscow1935.tif	-	file	6859	897	13.0777081207
135	File:ETH-BIB--Portrait-.tif	File:TuckerAlbertWilliam Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:WhitneyHassler Moscow1935.tif	-	file	6867	897	13.0624726955
135	File:ETH-BIB--Portrait-.tif	File:ZarankiewiczKazimierz Moscow1935.tif	-	file	6867	897	13.0624726955
144	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	User:DrTrigon/logs/eth-bib	-	user_page	2993974	161841	5.4055579641
144	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	User:Iranianson	-	user_page	154896	148173	95.6596684227
145	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif	User:DrTrigon/logs/eth-bib	-	user_page	2993974	161531	5.39520383277
149	File:ETH-BIB-Aadorf v. O. aus 500 m-Inlandflüge-LBS MH01-005727.tif	Commons:WikiProject Aviation/recent uploads/2017 February 3/Overflow 1	-	wikiproject	4645092	4178571	89.9566897706
150	File:ETH-BIB-Aadorf v. S. O. aus 300 m-Inlandflüge-LBS MH01-002608.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	-	wikiproject	2609266	698751	26.7796000868
151	File:ETH-BIB-Aadorf v. S. O. aus 500 m-Inlandflüge-LBS MH01-005726.tif	Commons:WikiProject Aviation/recent uploads/2017 February 3/Overflow 1	-	wikiproject	4645092	4179715	89.9813179158
152	File:ETH-BIB-Aadorf v. S. O.-Inlandflüge-LBS MH01-006728.tif	Commons:WikiProject Aviation/recent uploads/2017 February 3/Overflow 1	-	wikiproject	4645092	1420731	30.5856374858
153	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001931.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	-	wikiproject	1570000	1226647	78.1303821656
154	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001932.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	-	wikiproject	1570000	1227791	78.2032484076
155	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014043.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1524402	76.2243685646
156	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014044.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1525500	76.2792716392
157	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014045.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1526600	76.3342747194
161	File:ETH-BIB-Aadorf, Holzgeschäft Bachmann-Inlandflüge-LBS MH03-0001.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1124240	45.7220384422
162	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0002.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1125454	45.7714109558
163	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0003.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1427693	58.0632553812
164	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0004.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1428857	58.1105944304
165	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0005.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1126616	45.8186686665
166	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0006.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	1275867	51.8886003177
167	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0007.tif	Commons:WikiProject Aviation/recent uploads/2017 February 9	-	wikiproject	2458858	656147	26.6850302051
169	File:ETH-BIB-Aadorf-LBS H1-013118.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	571275	28.5653496596
170	File:ETH-BIB-Aadorf-LBS H1-013119.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	572141	28.6086520845
171	File:ETH-BIB-Aadorf-LBS H1-013120.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	573007	28.6519545095
172	File:ETH-BIB-Aadorf-LBS H1-013121.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	573873	28.6952569344
173	File:ETH-BIB-Aadorf-LBS H1-014042.tif	Commons:WikiProject Aviation/recent uploads/2017 June 12	-	wikiproject	1999888	1527493	76.3789272199
