id	fle	w	c	o	tot
249	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co. links, Sprecher & Schuh rechts-Inlandflüge-LBS MH03-1684.tif	0	1	0	1
250	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co.-Inlandflüge-LBS MH03-1699.tif	0	1	0	1
256	File:ETH-BIB-Aarau, Übersicht aus 500 m-Inlandflüge-LBS MH01-004511.tif	0	1	0	1
257	File:ETH-BIB-Aarau, Übersicht, Hungerberg, Schachen v. S. W. aus 600 m-Inlandflüge-LBS MH01-002657.tif	0	1	0	1
258	File:ETH-BIB-Aarau, Übersicht, Schachen v. S. W. aus 700 m-Inlandflüge-LBS MH01-002658.tif	0	1	0	1
255	File:ETH-BIB-Aarau, Zeughaus Garage-Inlandflüge-LBS MH03-0009.tif	0	1	0	1
287	File:ETH-BIB-Aarberg mit Zuckermühle-LBS H1-012253.tif	0	1	0	1
288	File:ETH-BIB-Aarberg mit Zuckermühle-LBS H1-012254.tif	2	1	0	3
289	File:ETH-BIB-Aarberg v. W. aus 200 m-Inlandflüge-LBS MH01-002184.tif	1	1	0	2
296	File:ETH-BIB-Aarberg-Inlandflüge-LBS MH01-002185.tif	0	1	0	1
297	File:ETH-BIB-Aarberg-LBS H1-012037.tif	0	1	0	1
298	File:ETH-BIB-Aarberg-LBS H1-012038.tif	0	1	0	1
299	File:ETH-BIB-Aarberg-LBS H1-016985.tif	0	1	0	1
300	File:ETH-BIB-Aarberg-LBS H1-016986.tif	0	1	0	1
302	File:ETH-BIB-Aarberg-LBS H1-021774.tif	0	1	0	1
291	File:ETH-BIB-Aarberg, alte Aare abwärts, mit Eisenbahnbrücke-Dia 247-14365.tif	1	0	0	1
292	File:ETH-BIB-Aarberg, Altstadt-LBS H1-012255.tif	0	1	0	1
293	File:ETH-BIB-Aarberg, Altstadt-LBS H1-012256.tif	0	1	0	1
305	File:ETH-BIB-Aarburg aus 100 m-Inlandflüge-LBS MH01-004210.tif	0	1	0	1
306	File:ETH-BIB-Aarburg mit Born, Rothrist, Oftringen aus 3000 m-Inlandflüge-LBS MH01-002714.tif	0	1	0	1
307	File:ETH-BIB-Aarburg und Olten aus 300 m-Inlandflüge-LBS MH01-002732.tif	0	1	0	1
308	File:ETH-BIB-Aarburg v. N. O. aus 1000 m-Inlandflüge-LBS MH01-000808.tif	0	1	0	1
309	File:ETH-BIB-Aarburg v. S. aus 2000 m-Inlandflüge-LBS MH01-003266.tif	0	1	0	1
310	File:ETH-BIB-Aarburg v. S. aus 500 m-Inlandflüge-LBS MH01-000518.tif	0	1	0	1
330	File:ETH-BIB-Aarburg-LBS H1-013571.tif	0	1	0	1
331	File:ETH-BIB-Aarburg-LBS H1-013572.tif	0	1	0	1
332	File:ETH-BIB-Aarburg-LBS H1-019920.tif	0	1	0	1
333	File:ETH-BIB-Aarburg-LBS H1-019921.tif	0	1	0	1
335	File:ETH-BIB-Aarburg-LBS H1-021167.tif	0	1	0	1
311	File:ETH-BIB-Aarburg, Aare v. S. W- aus 500 m-Inlandflüge-LBS MH01-000493.tif	0	1	0	1
313	File:ETH-BIB-Aarburg, Brücken aus 200 m-Inlandflüge-LBS MH01-004211.tif	0	1	0	1
314	File:ETH-BIB-Aarburg, Festung Aarburg-LBS H1-010658.tif	0	1	0	1
315	File:ETH-BIB-Aarburg, Festung Aarburg-LBS H1-010659.tif	0	1	0	1
316	File:ETH-BIB-Aarburg, Festung Aarburg-LBS H1-010660.tif	0	1	0	1
317	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0017.tif	0	1	0	1
318	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0018.tif	0	1	0	1
319	File:ETH-BIB-Aarburg, Kreuzstrasse-Bernstrasse bei-Inlandflüge-LBS MH03-0020.tif	0	1	0	1
321	File:ETH-BIB-Aarburg, Oftringen, Wartburghöf, Sälischloss-Inlandflüge-LBS MH01-003280.tif	0	1	0	1
322	File:ETH-BIB-Aarburg, Olten aus 600 m-Inlandflüge-LBS MH01-000495.tif	0	1	0	1
