page	p1	p2	media_pv	file_per_page	page_type
/wiki/File:ETH-BIB-Fiedler,_Wilhelm_(1832-1912)-Portrait-Portr_04712.jpg	File:ETH-BIB-Fiedler,_Wilhelm_(1832-1912)-Portrait-Portr_04712.jpg	File:ETH-BIB-Fiedler, Wilhelm (1832-1912)-Portrait-Portr 04712.jpg	10.25	2	file
/wiki/File:ETH-BIB-Weiss,_Pierre_(1865-1940)-Portrait-Portr_01257.tif_(cropped).jpg	File:ETH-BIB-Weiss,_Pierre_(1865-1940)-Portrait-Portr_01257.tif_(cropped).jpg	File:ETH-BIB-Weiss, Pierre (1865-1940)-Portrait-Portr 01257.tif (cropped).jpg	10.23076923	2	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_21	Commons:WikiProject_Aviation/recent_uploads/2018_January_21	Commons:WikiProject Aviation/recent uploads/2018 January 21	10.16666667	1	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_May_11_21:00	User:OgreBot/Uploads_by_new_users/2017_May_11_21:00	User:OgreBot/Uploads by new users/2017 May 11 21:00	10.07142857	1	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_August_10	Commons:WikiProject_Aviation/recent_uploads/2017_August_10	Commons:WikiProject Aviation/recent uploads/2017 August 10	10	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_December_15/Overflow_1	Commons:WikiProject_Aviation/recent_uploads/2016_December_15/Overflow_1	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	9.842105263	1122	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_24	Commons:WikiProject_Aviation/recent_uploads/2018_January_24	Commons:WikiProject Aviation/recent uploads/2018 January 24	9.833333333	4	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_February_11	Commons:WikiProject_Aviation/recent_uploads/2018_February_11	Commons:WikiProject Aviation/recent uploads/2018 February 11	9.6	4	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_07_18:00	User:OgreBot/Uploads_by_new_users/2017_June_07_18:00	User:OgreBot/Uploads by new users/2017 June 07 18:00	9.538461538	2	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_7	Commons:WikiProject_Aviation/recent_uploads/2018_January_7	Commons:WikiProject Aviation/recent uploads/2018 January 7	9.5	2	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_8	Commons:WikiProject_Aviation/recent_uploads/2017_December_8	Commons:WikiProject Aviation/recent uploads/2017 December 8	9.428571429	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_June_15	Commons:WikiProject_Aviation/recent_uploads/2017_June_15	Commons:WikiProject Aviation/recent uploads/2017 June 15	9.307692308	1862	wikiproject
/wiki/File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.tif	File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.tif	File:ETH-BIB-Roth, Otto (1853-1927)-Portrait-Portr 01251.tif	9.285714286	2	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_May_28	Commons:WikiProject_Aviation/recent_uploads/2017_May_28	Commons:WikiProject Aviation/recent uploads/2017 May 28	9.285714286	4	wikiproject
/wiki/File:ETH-BIB-Prasil,_Franz_(1857-1929)-Portrait-Portr_01249.jpg	File:ETH-BIB-Prasil,_Franz_(1857-1929)-Portrait-Portr_01249.jpg	File:ETH-BIB-Prasil, Franz (1857-1929)-Portrait-Portr 01249.jpg	9.25	2	file
/wiki/File:ETH-BIB-Gnehm,_Robert_(1852-1926)-Portrait-Portr_01238.jpg	File:ETH-BIB-Gnehm,_Robert_(1852-1926)-Portrait-Portr_01238.jpg	File:ETH-BIB-Gnehm, Robert (1852-1926)-Portrait-Portr 01238.jpg	9.25	2	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_March_13	Commons:WikiProject_Aviation/recent_uploads/2018_March_13	Commons:WikiProject Aviation/recent uploads/2018 March 13	9.25	2	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_May_12_13:30	User:OgreBot/Uploads_by_new_users/2017_May_12_13:30	User:OgreBot/Uploads by new users/2017 May 12 13:30	9.214285714	1	user_page
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_08_16:30	User:OgreBot/Uploads_by_new_users/2017_June_08_16:30	User:OgreBot/Uploads by new users/2017 June 08 16:30	9.166666667	3	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_December_22	Commons:WikiProject_Aviation/recent_uploads/2016_December_22	Commons:WikiProject Aviation/recent uploads/2016 December 22	9.052631579	1840	wikiproject
/wiki/File:Internationaler_Mathematikerkongress_Zürich_1932_-_ETH_BIB_Portr_10680-FL_(Johannes_Meiner).jpg	File:Internationaler_Mathematikerkongress_Zürich_1932_-_ETH_BIB_Portr_10680-FL_(Johannes_Meiner).jpg	File:Internationaler Mathematikerkongress Zürich 1932 - ETH BIB Portr 10680-FL (Johannes Meiner).jpg	9.047619048	2	file
/wiki/User:OgreBot/Watercraft/2016_May_27-31	User:OgreBot/Watercraft/2016_May_27-31	User:OgreBot/Watercraft/2016 May 27-31	9.038461538	3	user_page
/wiki/Category:Pierre_Weiss	Category:Pierre_Weiss	Category:Pierre Weiss	8.972222222	1	category
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_08_13:30	User:OgreBot/Uploads_by_new_users/2017_June_08_13:30	User:OgreBot/Uploads by new users/2017 June 08 13:30	8.846153846	3	user_page
/wiki/File:Gustav_Adolf_Tobler_-_ETH_BIB_Portr_01255_(Johannes_Meiner).jpg	File:Gustav_Adolf_Tobler_-_ETH_BIB_Portr_01255_(Johannes_Meiner).jpg	File:Gustav Adolf Tobler - ETH BIB Portr 01255 (Johannes Meiner).jpg	8.80952381	1	file
/wiki/File:BassersdorffSwissair-19610618i.tif	File:BassersdorffSwissair-19610618i.tif	File:BassersdorffSwissair-19610618i.tif	8.666666667	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_November_27	Commons:WikiProject_Aviation/recent_uploads/2017_November_27	Commons:WikiProject Aviation/recent uploads/2017 November 27	8.625	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_February_9/Overflow_1	Commons:WikiProject_Aviation/recent_uploads/2017_February_9/Overflow_1	Commons:WikiProject Aviation/recent uploads/2017 February 9/Overflow 1	8.529411765	1898	wikiproject
/wiki/File:BassersdorffSwissair-19730615i.tif	File:BassersdorffSwissair-19730615i.tif	File:BassersdorffSwissair-19730615i.tif	8.5	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_18	Commons:WikiProject_Aviation/recent_uploads/2018_January_18	Commons:WikiProject Aviation/recent uploads/2018 January 18	8.333333333	2	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_08_19:30	User:OgreBot/Uploads_by_new_users/2017_June_08_19:30	User:OgreBot/Uploads by new users/2017 June 08 19:30	8.230769231	1	user_page
/wiki/User:Draemmli	User:Draemmli	User:Draemmli	8.076923077	6	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_June_19	Commons:WikiProject_Aviation/recent_uploads/2017_June_19	Commons:WikiProject Aviation/recent uploads/2017 June 19	7.923076923	404	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_13	Commons:WikiProject_Aviation/recent_uploads/2017_December_13	Commons:WikiProject Aviation/recent uploads/2017 December 13	7.714285714	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_February_9	Commons:WikiProject_Aviation/recent_uploads/2017_February_9	Commons:WikiProject Aviation/recent uploads/2017 February 9	7.705882353	1808	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_07_19:30	User:OgreBot/Uploads_by_new_users/2017_June_07_19:30	User:OgreBot/Uploads by new users/2017 June 07 19:30	7.615384615	3	user_page
/wiki/File:BassersdorffSwissair-19770911i.tif	File:BassersdorffSwissair-19770911i.tif	File:BassersdorffSwissair-19770911i.tif	7.5	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_May_12	Commons:WikiProject_Aviation/recent_uploads/2017_May_12	Commons:WikiProject Aviation/recent uploads/2017 May 12	7.142857143	2	wikiproject
/wiki/File:Mitholz_Explosion_2.jpg	File:Mitholz_Explosion_2.jpg	File:Mitholz Explosion 2.jpg	7.111111111	0	file
/wiki/File:BassersdorffSwissair-19810519ii.tif	File:BassersdorffSwissair-19810519ii.tif	File:BassersdorffSwissair-19810519ii.tif	7	1	file
/wiki/File:BassersdorffSwissair-19960614i.tif	File:BassersdorffSwissair-19960614i.tif	File:BassersdorffSwissair-19960614i.tif	7	1	file
/wiki/File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.jpg	File:ETH-BIB-Roth,_Otto_(1853-1927)-Portrait-Portr_01251.jpg	File:ETH-BIB-Roth, Otto (1853-1927)-Portrait-Portr 01251.jpg	7	2	file
/wiki/User:J_budissin/Uploads/BiH/2018_April_21-30	User:J_budissin/Uploads/BiH/2018_April_21-30	User:J budissin/Uploads/BiH/2018 April 21-30	7	7	user_page
/wiki/File:Karl_Löhle_-_ETH_BIB_Portr_01246_(Johannes_Meiner).jpg	File:Karl_Löhle_-_ETH_BIB_Portr_01246_(Johannes_Meiner).jpg	File:Karl Löhle - ETH BIB Portr 01246 (Johannes Meiner).jpg	6.9375	1	file
/wiki/User:Chumwa/OgreBot/Public_transport_information/2017_December_11-20	User:Chumwa/OgreBot/Public_transport_information/2017_December_11-20	User:Chumwa/OgreBot/Public transport information/2017 December 11-20	6.857142857	1	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_19	Commons:WikiProject_Aviation/recent_uploads/2018_January_19	Commons:WikiProject Aviation/recent uploads/2018 January 19	6.833333333	6	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_11	Commons:WikiProject_Aviation/recent_uploads/2018_January_11	Commons:WikiProject Aviation/recent uploads/2018 January 11	6.833333333	6	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_12	Commons:WikiProject_Aviation/recent_uploads/2018_January_12	Commons:WikiProject Aviation/recent uploads/2018 January 12	6.833333333	4	wikiproject
/wiki/File:BassersdorffSwissair-19610618i.jpg	File:BassersdorffSwissair-19610618i.jpg	File:BassersdorffSwissair-19610618i.jpg	6.75	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_June_7	Commons:WikiProject_Aviation/recent_uploads/2017_June_7	Commons:WikiProject Aviation/recent uploads/2017 June 7	6.692307692	5	wikiproject
/wiki/File:BassersdorffSwissair-19700713i.tif	File:BassersdorffSwissair-19700713i.tif	File:BassersdorffSwissair-19700713i.tif	6.666666667	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2016_October_17	Commons:WikiProject_Aviation/recent_uploads/2016_October_17	Commons:WikiProject Aviation/recent uploads/2016 October 17	6.666666667	1	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_June_15/Overflow_1	Commons:WikiProject_Aviation/recent_uploads/2017_June_15/Overflow_1	Commons:WikiProject Aviation/recent uploads/2017 June 15/Overflow 1	6.615384615	2123	wikiproject
/wiki/File:Steyrer_Neutor_mit_Neutorbruecke_1932.jpg	File:Steyrer_Neutor_mit_Neutorbruecke_1932.jpg	File:Steyrer Neutor mit Neutorbruecke 1932.jpg	6.538461538	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_June_1	Commons:WikiProject_Aviation/recent_uploads/2017_June_1	Commons:WikiProject Aviation/recent uploads/2017 June 1	6.538461538	1	wikiproject
/wiki/File:BassersdorffWFriedli-195709i.tif	File:BassersdorffWFriedli-195709i.tif	File:BassersdorffWFriedli-195709i.tif	6.5	1	file
/wiki/File:Julius_Platter_-_ETH_BIB_Portr_01248_(Johannes_Meiner).jpg	File:Julius_Platter_-_ETH_BIB_Portr_01248_(Johannes_Meiner).jpg	File:Julius Platter - ETH BIB Portr 01248 (Johannes Meiner).jpg	6.470588235	0	file
/wiki/User:Derbrauni/NeuesDresden/2017_May_21-31	User:Derbrauni/NeuesDresden/2017_May_21-31	User:Derbrauni/NeuesDresden/2017 May 21-31	6.461538462	2	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_19	Commons:WikiProject_Aviation/recent_uploads/2017_December_19	Commons:WikiProject Aviation/recent uploads/2017 December 19	6.428571429	1	wikiproject
/wiki/User:Chumwa/OgreBot/München/2017_February_1-9	User:Chumwa/OgreBot/München/2017_February_1-9	User:Chumwa/OgreBot/München/2017 February 1-9	6.352941176	1	user_page
/wiki/File:BassersdorffJVogt-19890513i.tif	File:BassersdorffJVogt-19890513i.tif	File:BassersdorffJVogt-19890513i.tif	6.333333333	1	file
