89	ETH-BIB-Hinlopenstrasse_-_Nordostland_und_Ostküste_von_Spitzbergen_von_Norden_aus_2200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0023-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
90	ETH-BIB-Hammerfest_(Kaufhäuser)_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0059.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
91	ETH-BIB-Hammerfest_(Kaufhäuser)_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0059.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
92	ETH-BIB-Hammerfest_aus_200m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0056.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
93	ETH-BIB-Fjord_von_Hammerfest_aus_200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0063.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
94	ETH-BIB-Fjord_von_Hammerfest_aus_200_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0063.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
95	ETH-BIB-Hammerfest_(Kaufhäuser)_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0058-AL-FL.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
96	ETH-BIB-Hammerfest_(Kaufhäuser)_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0058-AL-FL.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
97	ETH-BIB-Hammerfest_(Kaufhäuser)_aus_100_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0058-AL-FL.tif	Category:Media contributed by the ETH-Bibliothek/Reports/wikimedia usage	Faebot	2017-04-24T05:09:06Z
98	ETH-BIB-Fjord_von_Hammerfest_200_m.-Spitzbergenflug_1923-LBS_MH02-01-0061-AL-FL.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
99	ETH-BIB-Fjord_von_Hammerfest_200_m.-Spitzbergenflug_1923-LBS_MH02-01-0061-AL-FL.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
