146	File:ETH-BIB-Abessinier vor Auto-Abessinienflug 1934-LBS MH02-22-0962.tif	49453583	3316	4961
147	File:ETH-BIB-Abessinier vor einer Kirche-Abessinienflug 1934-LBS MH02-22-0305.tif	52847166	4065	4323
148	File:ETH-BIB-Abessinier vor einer Strohhütte-Abessinienflug 1934-LBS MH02-22-0276.tif	53114395	4084	4326
149	File:ETH-BIB-Abessinier vor Gebäude-Abessinienflug 1934-LBS MH02-22-0589.tif	56136409	4206	4439
150	File:ETH-BIB-Abessinier vor Hütte-Abessinienflug 1934-LBS MH02-22-0662.tif	56678589	4228	4460
151	File:ETH-BIB-Abessinier vor Hütte-Abessinienflug 1934-LBS MH02-22-1148.tif	41908791	3065	4544
152	File:ETH-BIB-Abessinier vor Zug-Abessinienflug 1934-LBS MH02-22-0742.tif	55538798	4181	4421
153	File:ETH-BIB-Abessinier zu Pferd-Abessinienflug 1934-LBS MH02-22-1154.tif	41884052	4560	3054
154	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0383.tif	52975299	4095	4303
155	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0515.tif	53211715	4961	3568
156	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0518.tif	54291413	4892	3693
157	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0748.tif	55236365	4177	4401
158	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0760.tif	25859535	3399	2527
159	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0971.tif	49690617	4961	3332
160	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0972.tif	49665139	3330	4961
161	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0973.tif	49786194	3339	4961
162	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0978.tif	49575787	3324	4961
163	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0997.tif	49599216	3326	4961
164	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0998.tif	49662259	3331	4961
165	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-0999.tif	49825628	3341	4961
166	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-1119.tif	41526445	4541	3041
167	File:ETH-BIB-Abessinier-Abessinienflug 1934-LBS MH02-22-1153.tif	41518299	3038	4543
168	File:ETH-BIB-Abessinierin beim Wasser tragen-Abessinienflug 1934-LBS MH02-22-1149.tif	41891401	3057	4553
169	File:ETH-BIB-Abessinierin beim Wasser tragen-Abessinienflug 1934-LBS MH02-22-1150.tif	41603861	3037	4552
170	File:ETH-BIB-Abessinierin-Abessinienflug 1934-LBS MH02-22-0661.tif	56283215	4444	4212
171	File:ETH-BIB-Abessinierin-Abessinienflug 1934-LBS MH02-22-0979.tif	49584413	3325	4961
172	File:ETH-BIB-Abessinierin-Abessinienflug 1934-LBS MH02-22-0980.tif	49704805	3333	4961
173	File:ETH-BIB-Abessinierin-Abessinienflug 1934-LBS MH02-22-0981.tif	49721657	3334	4961
174	File:ETH-BIB-Abessinierin-Abessinienflug 1934-LBS MH02-22-0982.tif	49619503	3327	4961
175	File:ETH-BIB-Abessinische Frau mit Kind-Abessinienflug 1934-LBS MH02-22-0763.tif	55614335	4191	4415
176	File:ETH-BIB-Abessinische Frau und Kinder-Abessinienflug 1934-LBS MH02-22-0762.tif	55864607	4190	4436
177	File:ETH-BIB-Abessinische Frau und zwei Männer-Abessinienflug 1934-LBS MH02-22-1082.tif	42976458	3097	4615
178	File:ETH-BIB-Abessinische Frau und zwei Männer-Abessinienflug 1934-LBS MH02-22-1083.tif	43155542	3104	4620
179	File:ETH-BIB-Abessinische Frau und zwei Reisebegleiter Mittelholzers-Abessinienflug 1934-LBS MH02-22-1085.tif	42780373	3089	4603
180	File:ETH-BIB-Abessinische Frau vor Hütte-Abessinienflug 1934-LBS MH02-22-1086.tif	42776534	3093	4597
181	File:ETH-BIB-Abessinische Frau, abessinischer Mann-Abessinienflug 1934-LBS MH02-22-1079.tif	42512616	3077	4595
182	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-0669.tif	58588851	4961	3930
183	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-0670.tif	61252493	4961	4108
184	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-1078.tif	42582850	3072	4611
185	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-1080.tif	42416428	3065	4604
186	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-1081.tif	42538353	3075	4601
187	File:ETH-BIB-Abessinische Frau-Abessinienflug 1934-LBS MH02-22-1084.tif	42787161	3085	4611
188	File:ETH-BIB-Abessinische Jäger mit totem Rind-Abessinienflug 1934-LBS MH02-22-0758.tif	54949622	4168	4384
189	File:ETH-BIB-Abessinische Kinder-Abessinienflug 1934-LBS MH02-22-0678.tif	56284289	4222	4436
190	File:ETH-BIB-Abessinische Kinder-Abessinienflug 1934-LBS MH02-22-0679.tif	56715641	4225	4466
191	File:ETH-BIB-Abessinische Kinder-Abessinienflug 1934-LBS MH02-22-0977.tif	49694373	4961	3332
192	File:ETH-BIB-Abessinische Kinder-Abessinienflug 1934-LBS MH02-22-1156.tif	41771363	3045	4560
193	File:ETH-BIB-Abessinische Kinder-Abessinienflug 1934-LBS MH02-22-1157.tif	41926076	3060	4557
194	File:ETH-BIB-Abessinische Landschaft-Abessinienflug 1934-LBS MH02-22-0674.tif	56432996	4225	4441
195	File:ETH-BIB-Abessinische Landschaft-Abessinienflug 1934-LBS MH02-22-0675.tif	53638125	4226	4221
196	File:ETH-BIB-Abessinische Landschaft-Abessinienflug 1934-LBS MH02-22-0746.tif	55819317	4196	4429
197	File:ETH-BIB-Abessinische Lanzenreiter an Militärparade-Abessinienflug 1934-LBS MH02-22-0608.tif	51710951	4173	4118
198	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0711.tif	58464529	4665	4169
199	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0712.tif	55634624	4651	3975
200	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0713.tif	67237237	4663	4798
201	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0714.tif	51844295	4625	3729
202	File:ETH-BIB-Abessinische Musiker mit Streichinstrumenten-Abessinienflug 1934-LBS MH02-22-0720.tif	54716573	4162	4374
